"","obs.agr.alpha","est.alpha","ci.boot.alpha","X","Y"
"2.5%33",0.623422159887798,0.618700793454353,0.584842824038099,"text_LIWC","text_top4"
"97.5%33",0.623422159887798,0.618700793454353,0.650212228694443,"text_LIWC","text_top4"
"2.5%34",0.368863955119215,0.0753067963733663,0.022059898008096,"text_sentistrength","text_pattern"
"97.5%34",0.368863955119215,0.0753067963733663,0.12897259884697,"text_sentistrength","text_pattern"
"2.5%35",0.387096774193548,0.155109691728557,0.104056157241265,"text_sentistrength","text_polyglot"
"97.5%35",0.387096774193548,0.155109691728557,0.201338751462906,"text_sentistrength","text_polyglot"
"2.5%36",0.398316970546985,0.150773174182269,0.0966061838591481,"text_sentistrength","text_DANEW"
"97.5%36",0.398316970546985,0.150773174182269,0.199105640742273,"text_sentistrength","text_DANEW"
"2.5%37",0.52805049088359,0.492045736340249,0.451028231060136,"text_sentistrength","text_top4"
"97.5%37",0.52805049088359,0.492045736340249,0.529952775948264,"text_sentistrength","text_top4"
"2.5%38",0.460028050490884,0.264194180034309,0.215337868534574,"text_pattern","text_polyglot"
"97.5%38",0.460028050490884,0.264194180034309,0.312490776816954,"text_pattern","text_polyglot"
"2.5%39",0.455119214586255,0.277911617686743,0.226938687519459,"text_pattern","text_DANEW"
"97.5%39",0.455119214586255,0.277911617686743,0.329177029351273,"text_pattern","text_DANEW"
"2.5%40",0.47054698457223,0.300473733715992,0.250552604637111,"text_pattern","text_top4"
"97.5%40",0.47054698457223,0.300473733715992,0.346557538314931,"text_pattern","text_top4"
"2.5%41",0.465638148667602,0.301098366285112,0.254776357013053,"text_polyglot","text_DANEW"
"97.5%41",0.465638148667602,0.301098366285112,0.350658690923188,"text_polyglot","text_DANEW"
"2.5%42",0.595371669004208,0.609674344042412,0.57529923942424,"text_polyglot","text_top4"
"97.5%42",0.595371669004208,0.609674344042412,0.642658413707161,"text_polyglot","text_top4"
"2.5%43",0.612201963534362,0.594673588092808,0.553905484792126,"text_DANEW","text_top4"
"97.5%43",0.612201963534362,0.594673588092808,0.629641411637191,"text_DANEW","text_top4"
